Period,Model_Type,In-Sample MAE (Train),Out-of-Sample MAE (Test)
2024-01-08 to 2024-02-06,Proposed,0.30483202665508774,0.3256555884805591
2024-01-08 to 2024-02-06,Baseline,0.30632862565250885,0.3202471668794347
2024-02-07 to 2024-03-07,Proposed,0.30483202665508774,0.3040079493460458
2024-02-07 to 2024-03-07,Baseline,0.30632862565250885,0.30280304359797844
2024-03-08 to 2024-04-06,Proposed,0.30483202665508774,0.2996740760313191
2024-03-08 to 2024-04-06,Baseline,0.30632862565250885,0.2987663191923083
2024-04-07 to 2024-05-06,Proposed,0.30483202665508774,0.3341058242360196
2024-04-07 to 2024-05-06,Baseline,0.30632862565250885,0.3308476750084628
2024-05-07 to 2024-06-05,Proposed,0.30483202665508774,0.3129336822896033
2024-05-07 to 2024-06-05,Baseline,0.30632862565250885,0.311975991473691
2024-06-06 to 2024-07-05,Proposed,0.30483202665508774,0.34751524184724664
2024-06-06 to 2024-07-05,Baseline,0.30632862565250885,0.34565969034948857
2024-07-06 to 2024-08-04,Proposed,0.30483202665508774,0.3417299935508299
2024-07-06 to 2024-08-04,Baseline,0.30632862565250885,0.33729574038477406
2024-08-05 to 2024-09-03,Proposed,0.30483202665508774,0.33254170996890875
2024-08-05 to 2024-09-03,Baseline,0.30632862565250885,0.3279059975401469
2024-09-04 to 2024-10-03,Proposed,0.30483202665508774,0.3293504236012726
2024-09-04 to 2024-10-03,Baseline,0.30632862565250885,0.3247238986702673
2024-10-04 to 2024-11-02,Proposed,0.30483202665508774,0.33461590870383406
2024-10-04 to 2024-11-02,Baseline,0.30632862565250885,0.3258571922489429
2024-11-03 to 2024-12-02,Proposed,0.30483202665508774,0.35459810263125324
2024-11-03 to 2024-12-02,Baseline,0.30632862565250885,0.3462075347797294
2024-12-03 to 2025-01-01,Proposed,0.30483202665508774,0.33857851216722484
2024-12-03 to 2025-01-01,Baseline,0.30632862565250885,0.33191142770675297
2025-01-02 to 2025-01-31,Proposed,0.30483202665508774,0.3552897317971872
2025-01-02 to 2025-01-31,Baseline,0.30632862565250885,0.3667592643519413
2025-02-01 to 2025-03-02,Proposed,0.30483202665508774,0.33092968217868923
2025-02-01 to 2025-03-02,Baseline,0.30632862565250885,0.3486528178941965
2025-03-03 to 2025-04-01,Proposed,0.30483202665508774,0.3362176453120974
2025-03-03 to 2025-04-01,Baseline,0.30632862565250885,0.3475272139364174
2025-04-02 to 2025-05-01,Proposed,0.30483202665508774,0.30405816354489823
2025-04-02 to 2025-05-01,Baseline,0.30632862565250885,0.3233439848389245
2025-05-02 to 2025-05-31,Proposed,0.30483202665508774,0.23622797277880941
2025-05-02 to 2025-05-31,Baseline,0.30632862565250885,0.24863981683348305
2025-06-01 to 2025-06-30,Proposed,0.30483202665508774,0.21877731067602083
2025-06-01 to 2025-06-30,Baseline,0.30632862565250885,0.2255460919448532
2025-07-01 to 2025-07-30,Proposed,0.30483202665508774,0.22434450512929408
2025-07-01 to 2025-07-30,Baseline,0.30632862565250885,0.23207183584735844
2025-07-31 to 2025-08-29,Proposed,0.30483202665508774,0.25638397474746377
2025-07-31 to 2025-08-29,Baseline,0.30632862565250885,0.2688530250451204
2025-08-30 to 2025-09-28,Proposed,0.30483202665508774,0.29528367662840005
2025-08-30 to 2025-09-28,Baseline,0.30632862565250885,0.2821133102633648
2025-09-29 to 2025-10-28,Proposed,0.30483202665508774,0.25427215789146934
2025-09-29 to 2025-10-28,Baseline,0.30632862565250885,0.21094621765766497
2025-10-29 to 2025-11-27,Proposed,0.30483202665508774,0.2792039103618192
2025-10-29 to 2025-11-27,Baseline,0.30632862565250885,0.22829746944205775
2025-11-28 to 2025-12-27,Proposed,0.30483202665508774,0.27919257895506616
2025-11-28 to 2025-12-27,Baseline,0.30632862565250885,0.23957812631997413
2025-12-28 to 2026-01-26,Proposed,0.30483202665508774,0.30810408984492577
2025-12-28 to 2026-01-26,Baseline,0.30632862565250885,0.26307580251856066
