date,f_cap,f_aut,f_pri,f_siz,f_sum
2023/1/1,85,73,88,61,100
2023/1/8,87,75,83,66,92
2023/1/15,87,68,74,68,97
2023/1/22,91,71,78,74,90
2023/1/29,96,73,84,71,92
2023/2/5,94,75,88,76,91
2023/2/12,94,74,85,77,91
2023/2/19,99,77,100,87,99
2023/2/26,96,68,84,81,92
2023/3/5,97,80,81,81,82
2023/3/12,90,60,73,79,80
2023/3/19,91,70,84,76,83
2023/3/26,87,70,74,81,77
2023/4/2,77,65,66,70,75
2023/4/9,74,67,66,61,72
2023/4/16,66,65,69,61,77
2023/4/23,64,66,62,58,70
2023/4/30,66,67,66,59,78
2023/5/7,65,61,61,59,70
2023/5/14,66,63,66,51,74
2023/5/21,63,65,59,58,72
2023/5/28,62,70,69,60,82
2023/6/4,67,78,67,59,79
2023/6/11,70,67,73,59,82
2023/6/18,65,66,63,62,81
2023/6/25,69,70,70,59,81
2023/7/2,68,73,74,61,84
2023/7/9,61,98,69,58,77
2023/7/16,63,73,69,62,70
2023/7/23,57,74,64,53,69
2023/7/30,55,69,60,55,67
2023/8/6,56,69,60,58,71
2023/8/13,56,66,64,58,76
2023/8/20,62,73,73,54,76
2023/8/27,72,75,73,59,70
2023/9/3,65,74,74,62,70
2023/9/10,59,78,68,62,76
2023/9/17,68,74,75,63,79
2023/9/24,60,70,69,60,64
2023/10/1,62,67,65,58,63
2023/10/8,68,92,71,62,73
2023/10/15,56,79,69,59,66
2023/10/22,65,79,66,60,64
2023/10/29,59,70,61,56,66
2023/11/5,66,72,69,61,66
2023/11/12,66,73,73,59,67
2023/11/19,69,100,76,72,87
2023/11/26,71,87,76,67,79
2023/12/3,68,80,80,64,83
2023/12/10,69,76,76,62,80
2023/12/17,58,70,65,63,71
2023/12/24,67,69,63,54,70
2023/12/31,73,79,91,59,91
2024/1/7,78,80,73,73,84
2024/1/14,83,76,67,67,72
2024/1/21,87,87,70,78,84
2024/1/28,76,74,70,77,66
2024/2/4,72,66,72,80,75
2024/2/11,81,78,75,72,72
2024/2/18,82,73,76,82,74
2024/2/25,83,84,76,80,67
2024/3/3,86,73,80,84,73
2024/3/10,80,74,71,81,68
2024/3/17,88,77,77,77,70
2024/3/24,79,78,75,83,72
2024/3/31,77,73,65,69,63
2024/4/7,73,79,59,70,68
2024/4/14,71,77,62,75,64
2024/4/21,64,66,59,64,65
2024/4/28,63,64,61,76,65
2024/5/5,58,75,58,60,58
2024/5/12,62,83,58,57,61
2024/5/19,60,62,67,62,60
2024/5/26,59,74,56,65,62
2024/6/2,67,81,65,66,63
2024/6/9,61,68,59,59,66
2024/6/16,55,72,57,66,62
2024/6/23,69,74,66,72,75
2024/6/30,62,77,63,70,68
2024/7/7,65,81,61,58,68
2024/7/14,70,97,67,69,72
2024/7/21,67,83,53,61,64
2024/7/28,63,64,52,65,66
2024/8/4,57,74,53,60,55
2024/8/11,65,70,62,56,72
2024/8/18,67,80,60,58,66
2024/8/25,71,91,58,66,69
2024/9/1,66,91,64,71,74
2024/9/8,68,82,60,67,62
2024/9/15,67,84,59,65,69
2024/9/22,66,76,64,67,66
2024/9/29,62,79,54,55,65
2024/10/6,68,79,52,61,62
2024/10/13,67,93,57,69,65
2024/10/20,67,75,46,71,59
2024/10/27,65,76,55,63,59
2024/11/3,70,86,56,67,67
2024/11/10,57,71,59,65,63
2024/11/17,69,77,65,70,68
2024/11/24,69,80,71,75,76
2024/12/1,79,79,68,79,76
2024/12/8,73,75,64,60,72
2024/12/15,72,80,66,76,66
2024/12/22,60,72,57,59,59
2024/12/29,84,80,79,70,88
2025/1/5,75,77,74,75,75
2025/1/12,86,87,62,80,75
2025/1/19,73,75,65,78,65
2025/1/26,77,81,60,75,74
2025/2/2,78,85,66,77,70
2025/2/9,85,73,74,82,68
2025/2/16,90,68,67,81,68
2025/2/23,90,86,77,95,71
2025/3/2,89,85,60,90,69
2025/3/9,100,82,67,92,73
2025/3/16,94,89,70,100,72
2025/3/23,81,80,56,93,70
2025/3/30,68,75,52,81,62
2025/4/6,71,66,51,74,62
2025/4/13,73,78,57,75,61
2025/4/20,66,77,57,67,60
2025/4/27,70,78,49,73,60
2025/5/4,63,66,51,63,58
2025/5/11,70,74,50,68,55
2025/5/18,63,81,52,68,56
2025/5/25,73,73,57,71,58
2025/6/1,63,68,50,67,59
2025/6/8,72,73,59,74,59
2025/6/15,77,76,58,71,64
2025/6/22,70,75,51,64,62
2025/6/29,70,64,58,73,58
2025/7/6,63,93,63,65,67
2025/7/13,64,85,52,71,59
2025/7/20,58,72,56,66,63
2025/7/27,64,76,60,66,58
2025/8/3,58,79,52,67,57
2025/8/10,58,75,58,61,67
2025/8/17,58,76,53,68,60
2025/8/24,57,91,56,68,62
2025/8/31,60,89,52,67,64
2025/9/7,58,83,54,67,63
2025/9/14,71,83,52,68,66
2025/9/21,66,74,48,72,61
2025/9/28,59,69,51,67,50
2025/10/5,63,85,50,66,56
2025/10/12,61,75,47,65,53
2025/10/19,62,72,46,68,55
2025/10/26,58,77,48,67,58
2025/11/2,62,73,53,73,62
2025/11/9,65,80,52,66,66
2025/11/16,66,80,57,78,60
2025/11/23,74,98,64,78,72
2025/11/30,71,83,65,84,73
2025/12/7,65,85,62,77,62
2025/12/14,62,80,64,73,66
2025/12/21,60,73,55,64,63
2025/12/28,68,79,68,66,82
